8.3.....7......65..528...3.1....28.....14....7...........5....3.....157.6..7...4.,863915427971234658452867931194372865536148792728659314247596183389421576615783249,
.2..7......5.9.........1....5.869..1..8.1.2....7..2..4..95...4..7..2...5..2...68.,821475963765293418943681527254869371398714256617352894189536742476928135532147689,
..9......8.....1...2......9...6.8..2.84.1......295...4.5...1.46.1342.9.5..8......,479136528835294167126875439391648752584712693762953814957381246613427985248569371,
.....6...........8..129.5....3.59..........63.9...71..2..5.1.8.....6.31...537...2,529786431367415298481293576143659827758124963692837154236541789874962315915378642,
.48.71.....9.....1..3.849..9..4..7...2.7..63..8.2.........2...6....6.81........2.,548971263679352481213684975936418752124795638785236194857129346492563817361847529,
45.......9..8....3..2........8............93...5..4.2......674.58..4926.26..87..9,453791682916825473872463195748932516621578934395614827139256748587349261264187359,
...49.7.25..3..9..2....5.8.......46..639...7.8...3....6..8....4......5..3..5.....,138496752576382941249175386921758463463921875857634129695817234714263598382549617,
..7.1..54..1..5.2.....46..3..4.....6.852....772..3.8.......3...4...8.....1.....7.,367812954941375628258946713134758296685294137729631845576123489492587361813469572,
.........9.47.5.3221....4.77.85.........8.52..9.1.....35.....98.......1.17.....5.,637214985984765132215938467728596341461387529593142876356471298842659713179823654,
.9.1..5..1..3......58.....6....1.8...21.......3....9...63.9...89....82....2..6..7,397162584146385729258947316679513842421879635835624971763291458914758263582436197,
.64..7.8....4..5.....61..9..72.5....49.1.....5...9...67...4.8..2.........18...4..,964527183137489562825613794672354918493168257581792346756241839249835671318976425,
.4..691..3....4......8...46...19..8.8...73......6.237.....1..629.....8...2......3,248769135361524798579831246732195684896473521154682379485317962913246857627958413,
86...9...12.....7...93.7...6.4.....73....6....81..........2...893.7......4.8..91.,867259143123648579459317862694182357375496281281573694516924738938761425742835916,
.98..2.7.........341.57......27.4..97...19.48...32........8...7..............3.95,698432571257891463413576982862754139735619248941328756324985617589167324176243895,
7.53..8.1...45...33...8...........9.198.4.7.....7..2....3....87..........142..9..,765329841981457623342186579257638194198542736436791258623915487579864312814273965,
..39.4.....7.1...8.82....5........42......73......3....297....5.7...12....849....,653984127947215368182367459831679542295148736764523981429736815376851294518492673,
.9..3..4.65.82...1.341.........8.3..21..6....5..3....9....5......8.4.69..........,192736548657824931834195762749582316213469857586317429461958273378241695925673184,
......174.....18.3....78.5...71.6.2.4.2.3....81654......8.5.63.........2.4.......,289365174754921863361478259537196428492837516816542397928754631175683942643219785,
.3........8572.14.1.2.6.7....4....275..24..6......3.....7...4....6...2...5......8,739514682685729143142368795914856327573241869268973514827195436396487251451632978,
7...5...89..12..7..1.3..5....2...9548.57...21...........7...31....5...4.......8.9,726954138953128476418367592372816954895743621164295783247689315689531247531472869,
.7...2......7.3.....5.9..2.4....7.1.....4.5.....5.983......54...1.48..72.9.......,379812645246753198185694723458367219932148567761529834627935481513486972894271356,
......9....8..3.6.1...957.36....72.9.2..3.8....7.5.....1..8....35.96.....89......,473618925598723461162495783631847259925136847847259316716384592354962178289571634,
.7.2.9...2...6...45....4.....3....529..8.6..3....7.....56.2..8....4..2.5....3....,674289531291563874538714926783941652942856713165372498456127389317498265829635147,
....6.5....7...1..1...3.8...79....5..6.57..1......89..8529...6.3..........1...3..,984162537637895142125437896279314658468579213513628974852943761396781425741256389,
67.4...3...9........3....7.8....6..7..7.2.....6.9..5.2.4...8.........329...7.948.,678495231219873654453612978824356197597124863361987542945238716786541329132769485,
6.....9..8......634...3.15839.47581..4.69.......1.3...7.....43995........8.......,635281947871549263429736158392475816147698325568123794716852439954317682283964571,
...8....5.....1.9.58...7..3......5.9...3.4....56....38.....9684..16..3......7..1.,164893275327541896589267143413786529892354761756912438275139684941628357638475912,
62.1....3.4...3.....1.72.....9.31..2....87...3..49..........7....6.1.9...8....4..,627149853948563271531872694879631542415287369362495187194358726256714938783926415,
.4.3.568.5...1.4...1..2...36..5.3...9.58.......8..1.2.8....9.3......429..........,249375681583916472716428953621593847975842316438761529862159734157634298394287165,
...9..8...3.....247...1..........7...497..1.2.......4.....39.....46....8..8..127.,425963817931578624786214395162345789549786132873192546257839461314627958698451273,
..76.5....6..43..74.3.2.....8.2..9........738.......5......7.8.8......6....8.65.2,927615843568943127413728695385274916241569738796381254652137489879452361134896572,
......9.59....3.71.2.7.6..3..9.3.5........7.....152....7..21.....46.....2..37.1..,437218965986543271521796843619437582352869714748152639873921456194685327265374198,
..8.3....1...5.2.8.4.18.7...5....1..9.....4..2....9...4175...2...........2.8..5.1,798432615163957248542186793354728169976315482281649357417593826835261974629874531,
...9..4.8.2...1........5.6.9.1.528.....8..6....61.9..5.4..9....5....7.4....2..5.1,615923478824761953739485162971652834253874619486139725142596387598317246367248591,
..8......93.51......1..95..2..8.7..........8.3..2....6.7...8.69..9..3...85...1.73,568372194937514628421689537216837945795146382384295716173458269649723851852961473,
3..8...5.5.....2.9..97......74...6...8...2......54..2....6...9.4......6.7.8...3..,326891754517436289849725136274983615985162473631547928153674892492318567768259341,
3.7.9.5..6..4..........7.8...4..6..8...3...7.....84.....8......26...8.435...3....,317892564682453791495167382954726138826315479173984256738249615261578943549631827,
.2..4.........37.8....9.3...........45.93.8..9..4.8.5...3....7..6...7..5.8.65..4.,328741596649523718715896324872165439451932867936478152593284671264317985187659243,
......95292..6..1....5.....89..76...7...126...1....3.8....5..93......18.......7.5,346781952925463817187529436894376521753812649612945378471658293569237184238194765,
......5.1.7.....6.185...73.296.............23.1....8..8...36.9...951.....53.2....,632897541974153268185462739296385174548671923317249856821736495769514382453928617,
19..5.....5.......2.8.6..516...7.8...2....6....7......4...26.9..8.79...6....8541.,196253784754918362238467951619572843325841679847639125473126598581794236962385417,
57....8....964.71.....5...4...42917........6..2...1...8...1..5...67....1...29..8.,574132896239648715168957324653429178981573462427861539842316957396785241715294683,
71.5..3....5.....226..8....57..1............5.3...681..86.............7415..2...3,719542368845631792263987541578314926621798435934256817486173259392865174157429683,
...8...344.........6...12..973.4.8...1..67.9..........1.639......9..4...8...1....,592876134481239675367451289973142856218567493645983721126398547759624318834715962,
.......5..6.2......9.......21.5.8.46..5.6.27...4.2..9.4.........2.4....1..1.879..,143879652768251439592346817217598346935164278684723195476912583829435761351687924,
71..3...9.6......74......2......9..3...14..56.......9.6......4.59..26.71.....3..5,718234569962581437435967128847659213329148756156372894683715942594826371271493685,
.3...78..7..3.5.4.1.......2...45.....5...8..........2..627..4.8...8.3..6....2.1..,439217865726385941185964732913452687254678319678139524362791458591843276847526193,
5..........9....12...3.9.65.....42.......5.49.85......6..95...1.2.1.6..8.......3.,537261984869547312142389765793814256216735849485692173678953421324176598951428637,
..6.5....83...2..5...31...........7.2......9......38...128..6.9.8.2.571.7.9.6...3,126458937834972165597316428341689572278541396965723841412837659683295714759164283,
.81.4............57......23...63..12..6421.....58............5.....7..3883....7.1,581243679923716845764958123478635912396421587215897364147389256659172438832564791,
21.........6..2.91.4.5..............8..4..239..3...8....8..6..5.94..5......82.1..,217694583586732491349518762452983617861457239973261854128346975694175328735829146,
6...2.9..8.59....69.........3...2.18..63...7.....15.6...9..17..5....9...37.5.....,647823951815947326923156847734692518156384279298715463469231785581479632372568194,
.....3.4.......1..1...482.5.53..1.......2.5..4.8..631......2......6.5481.......9.,275163849384259176169748235653871924917324568428596317846912753792635481531487692,
2.54..3..4..13...9...2..8..5.4.27.3...1...5...37.....8..3.9...7.......9.....1....,275489316486135729319276845564827931821963574937541268153692487642758193798314652,
.4.3.6...83..97..1.....165........8.3.8..45.679.......1..8......7.......4....5.9.,541326879836597241927481653654213987318974526792658314169842735275139468483765192,
